0 [Acc: 0.468750,  Test Acc: 0.507060 0.510743]
10 [Acc: 0.593750,  Test Acc: 0.527931 0.537139]
20 [Acc: 0.625000,  Test Acc: 0.575200 0.565991]
30 [Acc: 0.687500,  Test Acc: 0.530387 0.538367]
40 [Acc: 0.666667,  Test Acc: 0.511357 0.513198]
50 [Acc: 0.687500,  Test Acc: 0.540823 0.535298]
60 [Acc: 0.750000,  Test Acc: 0.615101 0.669122]
70 [Acc: 0.781250,  Test Acc: 0.725599 0.736034]
80 [Acc: 0.875000,  Test Acc: 0.523634 0.528545]
90 [Acc: 0.802083,  Test Acc: 0.612032 0.620012]
100 [Acc: 0.864583,  Test Acc: 0.764886 0.776550]
110 [Acc: 0.822917,  Test Acc: 0.725599 0.734193]
120 [Acc: 0.854167,  Test Acc: 0.759975 0.763659]
130 [Acc: 0.812500,  Test Acc: 0.716390 0.736648]
140 [Acc: 0.864583,  Test Acc: 0.738490 0.751381]
150 [Acc: 0.906250,  Test Acc: 0.766114 0.785144]
160 [Acc: 0.854167,  Test Acc: 0.822591 0.800491]
170 [Acc: 0.875000,  Test Acc: 0.775936 0.754451]
180 [Acc: 0.927083,  Test Acc: 0.823818 0.824432]
190 [Acc: 0.885417,  Test Acc: 0.834868 0.837324]
200 [Acc: 0.916667,  Test Acc: 0.836096 0.841621]
210 [Acc: 0.895833,  Test Acc: 0.742787 0.757520]
220 [Acc: 0.854167,  Test Acc: 0.811541 0.801105]
230 [Acc: 0.875000,  Test Acc: 0.742787 0.739104]
240 [Acc: 0.958333,  Test Acc: 0.835482 0.836096]
250 [Acc: 0.916667,  Test Acc: 0.804174 0.820749]
260 [Acc: 0.875000,  Test Acc: 0.825660 0.818907]
270 [Acc: 0.927083,  Test Acc: 0.769184 0.763659]
280 [Acc: 0.895833,  Test Acc: 0.664825 0.639656]
290 [Acc: 0.927083,  Test Acc: 0.837937 0.859423]
300 [Acc: 0.864583,  Test Acc: 0.853284 0.866789]
310 [Acc: 0.916667,  Test Acc: 0.858195 0.856354]
320 [Acc: 0.885417,  Test Acc: 0.863106 0.871087]
330 [Acc: 0.927083,  Test Acc: 0.855126 0.867403]
340 [Acc: 0.927083,  Test Acc: 0.844690 0.853898]
350 [Acc: 0.968750,  Test Acc: 0.861878 0.868631]
360 [Acc: 0.947917,  Test Acc: 0.764273 0.759362]
370 [Acc: 0.947917,  Test Acc: 0.858195 0.871700]
380 [Acc: 0.968750,  Test Acc: 0.825046 0.846532]
390 [Acc: 0.947917,  Test Acc: 0.853898 0.858809]
400 [Acc: 0.895833,  Test Acc: 0.869859 0.878453]
410 [Acc: 0.989583,  Test Acc: 0.840393 0.864948]
420 [Acc: 0.895833,  Test Acc: 0.844690 0.873542]
430 [Acc: 0.968750,  Test Acc: 0.868631 0.873542]
440 [Acc: 0.927083,  Test Acc: 0.845918 0.871700]
450 [Acc: 0.947917,  Test Acc: 0.837324 0.838551]
460 [Acc: 0.968750,  Test Acc: 0.874156 0.883978]
470 [Acc: 1.000000,  Test Acc: 0.852670 0.870473]
480 [Acc: 0.937500,  Test Acc: 0.871087 0.879067]
490 [Acc: 0.937500,  Test Acc: 0.843462 0.872314]
500 [Acc: 0.937500,  Test Acc: 0.849601 0.868631]
510 [Acc: 0.968750,  Test Acc: 0.864334 0.872928]
520 [Acc: 0.958333,  Test Acc: 0.824432 0.821363]
530 [Acc: 0.958333,  Test Acc: 0.875998 0.880909]
540 [Acc: 0.958333,  Test Acc: 0.879067 0.886433]
550 [Acc: 0.947917,  Test Acc: 0.869859 0.882750]
560 [Acc: 0.979167,  Test Acc: 0.863720 0.876611]
570 [Acc: 0.958333,  Test Acc: 0.864948 0.865562]
580 [Acc: 0.947917,  Test Acc: 0.868631 0.888889]
590 [Acc: 0.927083,  Test Acc: 0.878453 0.887047]
600 [Acc: 1.000000,  Test Acc: 0.864334 0.885206]
610 [Acc: 0.989583,  Test Acc: 0.820135 0.806630]
620 [Acc: 0.979167,  Test Acc: 0.840393 0.857581]
630 [Acc: 0.979167,  Test Acc: 0.880909 0.892572]
640 [Acc: 0.958333,  Test Acc: 0.832413 0.856967]
650 [Acc: 0.937500,  Test Acc: 0.853898 0.847759]
660 [Acc: 0.968750,  Test Acc: 0.846532 0.848987]
670 [Acc: 0.968750,  Test Acc: 0.880909 0.884592]
680 [Acc: 0.958333,  Test Acc: 0.881522 0.883364]
690 [Acc: 0.989583,  Test Acc: 0.877839 0.891344]
700 [Acc: 0.958333,  Test Acc: 0.848987 0.841621
710 [Acc: 0.989583,  Test Acc: 0.879067 0.880909
720 [Acc: 0.979167,  Test Acc: 0.880909 0.893800
730 [Acc: 0.968750,  Test Acc: 0.864948 0.861265
740 [Acc: 0.968750,  Test Acc: 0.885820 0.890731
750 [Acc: 0.979167,  Test Acc: 0.876611 0.891958
760 [Acc: 0.979167,  Test Acc: 0.879681 0.891958
770 [Acc: 1.000000,  Test Acc: 0.880295 0.885820
780 [Acc: 1.000000,  Test Acc: 0.867403 0.890117
790 [Acc: 0.989583,  Test Acc: 0.821977 0.813382
800 [Acc: 0.958333,  Test Acc: 0.881522 0.896869
810 [Acc: 0.958333,  Test Acc: 0.868017 0.877839
820 [Acc: 0.958333,  Test Acc: 0.883978 0.896255
830 [Acc: 1.000000,  Test Acc: 0.885820 0.895028
840 [Acc: 0.968750,  Test Acc: 0.887661 0.903008
850 [Acc: 1.000000,  Test Acc: 0.884592 0.895641
860 [Acc: 0.989583,  Test Acc: 0.848987 0.868631
870 [Acc: 0.979167,  Test Acc: 0.879681 0.891958
880 [Acc: 0.958333,  Test Acc: 0.791283 0.820135
890 [Acc: 0.968750,  Test Acc: 0.884592 0.899939
900 [Acc: 1.000000,  Test Acc: 0.859423 0.875998
910 [Acc: 1.000000,  Test Acc: 0.858195 0.877225
920 [Acc: 0.979167,  Test Acc: 0.887661 0.902394
930 [Acc: 0.989583,  Test Acc: 0.862492 0.852056
940 [Acc: 0.989583,  Test Acc: 0.855740 0.882750
950 [Acc: 0.989583,  Test Acc: 0.888889 0.898711
