0 [Acc: 0.468750,  Test Acc: 0.507060 0.510743
10 [Acc: 0.572917,  Test Acc: 0.529159 0.542664
20 [Acc: 0.635417,  Test Acc: 0.612646 0.612646
30 [Acc: 0.677083,  Test Acc: 0.586863 0.604052
40 [Acc: 0.635417,  Test Acc: 0.651934 0.632904
50 [Acc: 0.677083,  Test Acc: 0.526704 0.510743
60 [Acc: 0.781250,  Test Acc: 0.642112 0.636587
70 [Acc: 0.802083,  Test Acc: 0.734193 0.734807
80 [Acc: 0.791667,  Test Acc: 0.750153 0.746470
90 [Acc: 0.854167,  Test Acc: 0.750767 0.732351
100 [Acc: 0.791667,  Test Acc: 0.763659 0.758134
110 [Acc: 0.791667,  Test Acc: 0.782075 0.771025
120 [Acc: 0.802083,  Test Acc: 0.777164 0.773481
130 [Acc: 0.781250,  Test Acc: 0.762431 0.775322
140 [Acc: 0.802083,  Test Acc: 0.720688 0.696133
150 [Acc: 0.864583,  Test Acc: 0.750153 0.755064
160 [Acc: 0.833333,  Test Acc: 0.807858 0.810313
170 [Acc: 0.822917,  Test Acc: 0.816452 0.823204
180 [Acc: 0.906250,  Test Acc: 0.649478 0.653161
190 [Acc: 0.802083,  Test Acc: 0.792511 0.786986
200 [Acc: 0.885417,  Test Acc: 0.800491 0.784530
210 [Acc: 0.885417,  Test Acc: 0.753223 0.745856
220 [Acc: 0.854167,  Test Acc: 0.836096 0.828729
230 [Acc: 0.854167,  Test Acc: 0.763045 0.740945
240 [Acc: 0.916667,  Test Acc: 0.845304 0.845304
250 [Acc: 0.885417,  Test Acc: 0.845918 0.844076
260 [Acc: 0.885417,  Test Acc: 0.802947 0.782075
270 [Acc: 0.895833,  Test Acc: 0.783917 0.780233
280 [Acc: 0.906250,  Test Acc: 0.831185 0.821363
290 [Acc: 0.895833,  Test Acc: 0.852056 0.859423
300 [Acc: 0.895833,  Test Acc: 0.845304 0.844690
310 [Acc: 0.927083,  Test Acc: 0.856967 0.850829
320 [Acc: 0.916667,  Test Acc: 0.852670 0.834868
330 [Acc: 0.906250,  Test Acc: 0.856967 0.858195
340 [Acc: 0.885417,  Test Acc: 0.858195 0.850215
350 [Acc: 0.968750,  Test Acc: 0.850829 0.859423
360 [Acc: 0.916667,  Test Acc: 0.800491 0.813996
370 [Acc: 0.979167,  Test Acc: 0.723757 0.747698
380 [Acc: 0.968750,  Test Acc: 0.747084 0.772867
390 [Acc: 0.958333,  Test Acc: 0.846532 0.845918
400 [Acc: 0.906250,  Test Acc: 0.853898 0.847759
410 [Acc: 0.989583,  Test Acc: 0.871700 0.865562
420 [Acc: 0.906250,  Test Acc: 0.811541 0.831799
430 [Acc: 0.916667,  Test Acc: 0.875384 0.871700
440 [Acc: 0.968750,  Test Acc: 0.796194 0.810313
450 [Acc: 0.927083,  Test Acc: 0.807244 0.803560
460 [Acc: 0.947917,  Test Acc: 0.873542 0.863720
470 [Acc: 0.979167,  Test Acc: 0.794966 0.807244
480 [Acc: 0.958333,  Test Acc: 0.860651 0.857581
490 [Acc: 0.979167,  Test Acc: 0.887047 0.872928
500 [Acc: 0.968750,  Test Acc: 0.860651 0.859423
510 [Acc: 0.979167,  Test Acc: 0.851443 0.861878
520 [Acc: 0.989583,  Test Acc: 0.868631 0.856354
530 [Acc: 0.958333,  Test Acc: 0.879067 0.875998
540 [Acc: 0.958333,  Test Acc: 0.871700 0.864334
550 [Acc: 0.958333,  Test Acc: 0.879681 0.879681
560 [Acc: 0.968750,  Test Acc: 0.854512 0.857581
570 [Acc: 0.947917,  Test Acc: 0.787600 0.793738
580 [Acc: 0.968750,  Test Acc: 0.865562 0.863106
590 [Acc: 0.968750,  Test Acc: 0.864334 0.853284
600 [Acc: 1.000000,  Test Acc: 0.876611 0.873542
610 [Acc: 0.989583,  Test Acc: 0.845918 0.834868
620 [Acc: 0.968750,  Test Acc: 0.861878 0.855740
630 [Acc: 0.979167,  Test Acc: 0.895642 0.872928
640 [Acc: 0.958333,  Test Acc: 0.809699 0.828115
650 [Acc: 0.979167,  Test Acc: 0.895641 0.882136
660 [Acc: 0.979167,  Test Acc: 0.849601 0.852056
670 [Acc: 0.979167,  Test Acc: 0.897483 0.884592
680 [Acc: 0.958333,  Test Acc: 0.892572 0.874770
690 [Acc: 0.989583,  Test Acc: 0.842234 0.846532
700 [Acc: 0.947917,  Test Acc: 0.875998 0.865562
710 [Acc: 0.989583,  Test Acc: 0.885820 0.875998
720 [Acc: 1.000000,  Test Acc: 0.893186 0.879067
730 [Acc: 0.968750,  Test Acc: 0.860651 0.861265
740 [Acc: 0.968750,  Test Acc: 0.882750 0.872928
750 [Acc: 1.000000,  Test Acc: 0.835482 0.856967
760 [Acc: 0.989583,  Test Acc: 0.896255 0.887661
770 [Acc: 0.989583,  Test Acc: 0.889503 0.876611
780 [Acc: 1.000000,  Test Acc: 0.887661 0.876611
790 [Acc: 1.000000,  Test Acc: 0.850215 0.852670
800 [Acc: 0.989583,  Test Acc: 0.875998 0.867403
810 [Acc: 0.958333,  Test Acc: 0.844690 0.836710
820 [Acc: 0.968750,  Test Acc: 0.886433 0.878453
830 [Acc: 1.000000,  Test Acc: 0.891958 0.879681
840 [Acc: 0.968750,  Test Acc: 0.901166 0.888889
850 [Acc: 1.000000,  Test Acc: 0.895028 0.885206
860 [Acc: 0.989583,  Test Acc: 0.893800 0.884592
870 [Acc: 0.989583,  Test Acc: 0.891958 0.887047
880 [Acc: 0.958333,  Test Acc: 0.770411 0.786372
890 [Acc: 0.989583,  Test Acc: 0.887661 0.877839
900 [Acc: 0.989583,  Test Acc: 0.898097 0.881522
910 [Acc: 0.989583,  Test Acc: 0.864948 0.869245
920 [Acc: 0.989583,  Test Acc: 0.899325 0.882750
930 [Acc: 0.989583,  Test Acc: 0.822591 0.820749
940 [Acc: 0.989583,  Test Acc: 0.821363 0.835482
950 [Acc: 0.979167,  Test Acc: 0.900552 0.886433
960 [Acc: 1.000000,  Test Acc: 0.903622 0.886433
970 [Acc: 0.989583,  Test Acc: 0.901166 0.887661
980 [Acc: 0.979167,  Test Acc: 0.837324 0.836096
990 [Acc: 0.979167,  Test Acc: 0.868017 0.863720
1000 [Acc: 0.989583,  Test Acc: 0.889503 0.874770
1010 [Acc: 1.000000,  Test Acc: 0.866789 0.865562
1020 [Acc: 1.000000,  Test Acc: 0.878453 0.873542
1030 [Acc: 1.000000,  Test Acc: 0.889503 0.877225
1040 [Acc: 1.000000,  Test Acc: 0.866789 0.872314
1050 [Acc: 0.979167,  Test Acc: 0.891958 0.878453
1060 [Acc: 1.000000,  Test Acc: 0.871700 0.863720
1070 [Acc: 1.000000,  Test Acc: 0.897483 0.886433
1080 [Acc: 0.989583,  Test Acc: 0.882750 0.880295
1090 [Acc: 0.989583,  Test Acc: 0.871700 0.853284
1100 [Acc: 1.000000,  Test Acc: 0.898097 0.883978
1110 [Acc: 1.000000,  Test Acc: 0.899939 0.886433
1120 [Acc: 1.000000,  Test Acc: 0.903008 0.887661
1130 [Acc: 0.989583,  Test Acc: 0.890117 0.883978
1140 [Acc: 1.000000,  Test Acc: 0.887661 0.885206
1150 [Acc: 0.989583,  Test Acc: 0.896869 0.883364
1160 [Acc: 1.000000,  Test Acc: 0.871700 0.869859
1170 [Acc: 0.989583,  Test Acc: 0.869245 0.866789
1180 [Acc: 0.989583,  Test Acc: 0.903008 0.885206
1190 [Acc: 0.989583,  Test Acc: 0.842235 0.859423
1200 [Acc: 0.989583,  Test Acc: 0.858195 0.851443
1210 [Acc: 1.000000,  Test Acc: 0.903622 0.888889
1220 [Acc: 1.000000,  Test Acc: 0.870473 0.860651
1230 [Acc: 1.000000,  Test Acc: 0.900552 0.888889
1240 [Acc: 1.000000,  Test Acc: 0.878453 0.860651
1250 [Acc: 1.000000,  Test Acc: 0.850215 0.860651
1260 [Acc: 1.000000,  Test Acc: 0.860651 0.854512
1270 [Acc: 0.989583,  Test Acc: 0.842235 0.853284
1280 [Acc: 0.989583,  Test Acc: 0.889503 0.880909
1290 [Acc: 0.979167,  Test Acc: 0.876611 0.869859
1300 [Acc: 0.989583,  Test Acc: 0.900552 0.887047
1310 [Acc: 1.000000,  Test Acc: 0.898097 0.887661
1320 [Acc: 1.000000,  Test Acc: 0.888275 0.882136
1330 [Acc: 0.989583,  Test Acc: 0.854512 0.861878
1340 [Acc: 1.000000,  Test Acc: 0.891344 0.888889
1350 [Acc: 0.989583,  Test Acc: 0.885206 0.888275
1360 [Acc: 0.989583,  Test Acc: 0.841007 0.858195
1370 [Acc: 1.000000,  Test Acc: 0.815224 0.815838
1380 [Acc: 0.989583,  Test Acc: 0.890117 0.883364
1390 [Acc: 0.979167,  Test Acc: 0.904236 0.888275
1400 [Acc: 1.000000,  Test Acc: 0.888889 0.879067
1410 [Acc: 1.000000,  Test Acc: 0.831185 0.852056
1420 [Acc: 0.989583,  Test Acc: 0.893800 0.887047
1430 [Acc: 1.000000,  Test Acc: 0.884592 0.870473
1440 [Acc: 0.968750,  Test Acc: 0.903622 0.889503
1450 [Acc: 0.979167,  Test Acc: 0.899325 0.895028
1460 [Acc: 1.000000,  Test Acc: 0.892572 0.895642
1470 [Acc: 1.000000,  Test Acc: 0.899325 0.893186
1480 [Acc: 1.000000,  Test Acc: 0.886433 0.891344
1490 [Acc: 1.000000,  Test Acc: 0.902394 0.895028
1500 [Acc: 1.000000,  Test Acc: 0.891958 0.883364
